                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.0272,                0.69355,                 0.9746,                0.08977,                0.16038,                0.04227,                0.02043,                 1.9845,                 4.0186,                  1.411,             0.00049907,             0.00049907,             0.00049907
                     58,                   1.23,                0.83916,                 1.0732,                0.08977,                0.16038,                0.04227,                0.02043,                 1.9845,                 4.0186,                  1.411,              0.0004967,              0.0004967,              0.0004967
                     59,                 1.3967,                 0.8235,                 1.0095,                0.08977,                0.16038,                0.04227,                0.02043,                 1.9845,                 4.0186,                  1.411,             0.00049393,             0.00049393,             0.00049393
                     60,                 1.0802,                0.75728,                0.98938,                0.14602,                0.15094,                 0.0589,                0.02645,                 2.0774,                 3.5148,                 1.3983,             0.00049076,             0.00049076,             0.00049076
                     61,                 1.0694,                0.74208,                 1.0002,                0.14602,                0.15094,                 0.0589,                0.02645,                 2.0774,                 3.5148,                 1.3983,              0.0004872,              0.0004872,              0.0004872
                     62,                 1.0359,                 0.6549,                0.94892,                0.14602,                0.15094,                 0.0589,                0.02645,                 2.0774,                 3.5148,                 1.3983,             0.00048324,             0.00048324,             0.00048324
                     63,                 1.0643,                0.75494,                 1.0137,                0.21265,                0.13208,                0.06344,                0.03065,                 2.0656,                 3.6142,                 1.3979,             0.00047889,             0.00047889,             0.00047889
                     64,                 1.0187,                0.66758,                0.94678,                0.21265,                0.13208,                0.06344,                0.03065,                 2.0656,                 3.6142,                 1.3979,             0.00047414,             0.00047414,             0.00047414
                     65,                 1.2716,                0.87331,                 1.0339,                0.21265,                0.13208,                0.06344,                0.03065,                 2.0656,                 3.6142,                 1.3979,             0.00046899,             0.00046899,             0.00046899
                     66,                 1.0377,                0.65749,                 1.0288,                0.24406,                0.21698,                 0.0966,                0.04892,                 2.0167,                  3.255,                  1.396,             0.00046345,             0.00046345,             0.00046345
                     67,                 1.1747,                0.67618,                 0.9337,                0.24406,                0.21698,                 0.0966,                0.04892,                 2.0167,                  3.255,                  1.396,             0.00045751,             0.00045751,             0.00045751
                     68,                 1.2073,                0.69459,                0.99852,                0.24406,                0.21698,                 0.0966,                0.04892,                 2.0167,                  3.255,                  1.396,             0.00045118,             0.00045118,             0.00045118
                     69,                 1.2951,                0.80696,                 1.0656,                0.21144,                0.24528,                0.10645,                0.04938,                 2.0379,                 3.2123,                 1.4042,             0.00044445,             0.00044445,             0.00044445
                     70,                 1.1387,                 0.7198,                 1.0095,                0.21144,                0.24528,                0.10645,                0.04938,                 2.0379,                 3.2123,                 1.4042,             0.00043732,             0.00043732,             0.00043732
                     71,                 1.1011,                0.68266,                0.96515,                0.21144,                0.24528,                0.10645,                0.04938,                 2.0379,                 3.2123,                 1.4042,              0.0004298,              0.0004298,              0.0004298
                     72,                 1.1415,                0.75382,                  1.038,                0.24079,                0.25472,                0.13108,                 0.0558,                 2.0482,                 2.9414,                 1.3761,             0.00042188,             0.00042188,             0.00042188
                     73,                 1.1155,                0.77969,                 0.9954,                0.24079,                0.25472,                0.13108,                 0.0558,                 2.0482,                 2.9414,                 1.3761,             0.00041357,             0.00041357,             0.00041357
                     74,                 1.0888,                 0.6984,                0.97663,                0.24079,                0.25472,                0.13108,                 0.0558,                 2.0482,                 2.9414,                 1.3761,             0.00040486,             0.00040486,             0.00040486
                     75,                 1.2965,                0.77015,                 1.0034,                0.29584,                0.30521,                0.17824,                0.07348,                 2.0675,                 2.6853,                 1.3652,             0.00039575,             0.00039575,             0.00039575
                     76,                 1.2171,                0.75892,                 1.0755,                0.29584,                0.30521,                0.17824,                0.07348,                 2.0675,                 2.6853,                 1.3652,             0.00038625,             0.00038625,             0.00038625
                     77,                 1.0049,                0.71032,                 1.0155,                0.29584,                0.30521,                0.17824,                0.07348,                 2.0675,                 2.6853,                 1.3652,             0.00037635,             0.00037635,             0.00037635
                     78,                 1.2116,                0.79572,                 1.0522,                0.36014,                0.32075,                0.21315,                 0.0974,                 2.0119,                 2.5709,                 1.3318,             0.00036606,             0.00036606,             0.00036606
                     79,                 1.0466,                0.68733,                0.99738,                0.36014,                0.32075,                0.21315,                 0.0974,                 2.0119,                 2.5709,                 1.3318,             0.00035537,             0.00035537,             0.00035537
                     80,                 1.0572,                0.67807,                0.96728,                0.36014,                0.32075,                0.21315,                 0.0974,                 2.0119,                 2.5709,                 1.3318,             0.00034428,             0.00034428,             0.00034428
                     81,                 1.1387,                0.72479,                0.98547,                0.37571,                0.31132,                 0.2468,                0.11262,                 1.9825,                 2.3991,                 1.3089,              0.0003328,              0.0003328,              0.0003328
                     82,                 1.0049,                0.64287,                0.95312,                0.37571,                0.31132,                 0.2468,                0.11262,                 1.9825,                 2.3991,                 1.3089,             0.00032092,             0.00032092,             0.00032092
                     83,                 1.0873,                0.65811,                0.95078,                0.37571,                0.31132,                 0.2468,                0.11262,                 1.9825,                 2.3991,                 1.3089,             0.00030865,             0.00030865,             0.00030865
                     84,                 1.0951,                0.68386,                0.98028,                0.36966,                0.37623,                0.26155,                0.11507,                      2,                  2.377,                 1.2898,             0.00029598,             0.00029598,             0.00029598
                     85,                 1.0347,                0.59612,                0.90849,                0.36966,                0.37623,                0.26155,                0.11507,                      2,                  2.377,                 1.2898,             0.00028291,             0.00028291,             0.00028291
                     86,                0.85752,                0.61684,                0.97261,                0.36966,                0.37623,                0.26155,                0.11507,                      2,                  2.377,                 1.2898,             0.00026945,             0.00026945,             0.00026945
                     87,                0.86585,                0.54764,                0.94084,                0.36966,                0.37623,                0.26155,                0.11507,                      2,                  2.377,                 1.2898,             0.00025559,             0.00025559,             0.00025559
                     88,                 1.1166,                0.73765,                 1.0551,                0.38314,                0.35159,                0.26821,                0.10918,                 2.0497,                 2.3945,                 1.3233,             0.00024134,             0.00024134,             0.00024134
                     89,                 1.2032,                0.77194,                 1.0269,                0.38314,                0.35159,                0.26821,                0.10918,                 2.0497,                 2.3945,                 1.3233,             0.00022669,             0.00022669,             0.00022669
                     90,                0.99049,                0.63854,                0.94689,                0.38314,                0.35159,                0.26821,                0.10918,                 2.0497,                 2.3945,                 1.3233,             0.00021164,             0.00021164,             0.00021164
                     91,                0.95873,                0.64551,                0.93671,                0.38314,                0.35159,                0.26821,                0.10918,                 2.0497,                 2.3945,                 1.3233,              0.0001962,              0.0001962,              0.0001962
                     92,                 1.0703,                0.73395,                0.98938,                0.41342,                0.33247,                0.27968,                0.11182,                 2.0458,                 2.3773,                 1.3078,             0.00018036,             0.00018036,             0.00018036
                     93,                0.99325,                0.63186,                  0.939,                0.41342,                0.33247,                0.27968,                0.11182,                 2.0458,                 2.3773,                 1.3078,             0.00016413,             0.00016413,             0.00016413
                     94,                0.89844,                0.57706,                0.95483,                0.41342,                0.33247,                0.27968,                0.11182,                 2.0458,                 2.3773,                 1.3078,              0.0001475,              0.0001475,              0.0001475
                     95,                 1.0702,                0.66659,                0.96257,                0.41342,                0.33247,                0.27968,                0.11182,                 2.0458,                 2.3773,                 1.3078,             0.00013047,             0.00013047,             0.00013047
                     96,                 1.0076,                0.62133,                0.97813,                 0.3654,                0.39623,                0.30559,                0.12281,                  1.993,                 2.2571,                 1.2813,             0.00011305,             0.00011305,             0.00011305
                     97,                0.84177,                0.54818,                0.95428,                 0.3654,                0.39623,                0.30559,                0.12281,                  1.993,                 2.2571,                 1.2813,             9.5232e-05,             9.5232e-05,             9.5232e-05
                     98,                0.84554,                0.57646,                0.97403,                 0.3654,                0.39623,                0.30559,                0.12281,                  1.993,                 2.2571,                 1.2813,             7.7018e-05,             7.7018e-05,             7.7018e-05
                     99,                0.84314,                0.57674,                0.95634,                 0.3654,                0.39623,                0.30559,                0.12281,                  1.993,                 2.2571,                 1.2813,             5.8408e-05,             5.8408e-05,             5.8408e-05
                    100,                0.85124,                0.58108,                0.98784,                0.37914,                0.38025,                0.31714,                0.13059,                 1.9808,                 2.1489,                 1.2777,             3.9402e-05,             3.9402e-05,             3.9402e-05
